time	V(vout)
2.782819680483587e-002	-4.059865e-002
2.792852509686297e-002	-4.129722e-002
2.804050604830788e-002	-4.213743e-002
2.815693464752330e-002	-4.301345e-002
2.817474426809491e-002	-4.314261e-002
2.821036350923812e-002	-4.338875e-002
2.825302544081774e-002	-4.366894e-002
2.829425032823401e-002	-4.392257e-002
2.834049776782360e-002	-4.418501e-002
2.843299264700277e-002	-4.466744e-002
2.851989436168716e-002	-4.508622e-002
2.859842619020426e-002	-4.543809e-002
2.868392094045607e-002	-4.580104e-002
2.876992339256118e-002	-4.615189e-002
2.887085239901398e-002	-4.655208e-002
2.898012547375771e-002	-4.697766e-002
2.911764271981666e-002	-4.750696e-002
2.928330940204229e-002	-4.813781e-002
2.950945190087329e-002	-4.898906e-002
2.968781461822913e-002	-4.965246e-002
2.984122231287543e-002	-5.021605e-002
3.001414715415238e-002	-5.084416e-002
3.017369607149794e-002	-5.141719e-002
3.033649442466944e-002	-5.199521e-002
3.049075903402595e-002	-5.253698e-002
3.062427794453777e-002	-5.300189e-002
3.064389952652961e-002	-5.306977e-002
3.068314269051329e-002	-5.320500e-002
3.070410933371051e-002	-5.327710e-002
3.074604262010494e-002	-5.342100e-002
3.075110111247905e-002	-5.343834e-002
3.075236573557257e-002	-5.344266e-002
3.075489498175963e-002	-5.345132e-002
3.075995347413373e-002	-5.346863e-002
3.076866261789295e-002	-5.349842e-002
3.078338555060237e-002	-5.354873e-002
3.079761086827519e-002	-5.359729e-002
3.082606150362083e-002	-5.369537e-002
3.086844316621784e-002	-5.385063e-002
3.091550937058427e-002	-5.405498e-002
3.097118926891431e-002	-5.436809e-002
3.102961675316470e-002	-5.480412e-002
3.111197604271198e-002	-5.557362e-002
3.121004611397743e-002	-5.660763e-002
3.132481996269305e-002	-5.786378e-002
3.134039715714265e-002	-5.803190e-002
3.137155154604185e-002	-5.836114e-002
3.137934014326665e-002	-5.844229e-002
3.139491733771625e-002	-5.860154e-002
3.142607172661544e-002	-5.891183e-002
3.146080190886647e-002	-5.924354e-002
3.149409167753914e-002	-5.954333e-002
3.153665630171035e-002	-5.989845e-002
3.161076900766374e-002	-6.046674e-002
3.168490277767618e-002	-6.098877e-002
3.175930223096211e-002	-6.147192e-002
3.183994201749083e-002	-6.196220e-002
3.192609814293781e-002	-6.245948e-002
3.201499941005125e-002	-6.295281e-002
3.211263589313528e-002	-6.348015e-002
3.222532831556881e-002	-6.407914e-002
3.236095508985654e-002	-6.479347e-002
3.253198382170056e-002	-6.568747e-002
3.275653239522627e-002	-6.685201e-002
3.293309097005828e-002	-6.776020e-002
3.308636524851957e-002	-6.854211e-002
3.325846659954974e-002	-6.941335e-002
3.341819755097140e-002	-7.021586e-002
3.358069868527961e-002	-7.102603e-002
3.373508443555100e-002	-7.178991e-002
3.389383573778396e-002	-7.256939e-002
3.404865553878394e-002	-7.332373e-002
3.420755496924015e-002	-7.409193e-002
3.436481749036098e-002	-7.484620e-002
3.452718346249307e-002	-7.561859e-002
3.469179406388193e-002	-7.639506e-002
3.486575848448308e-002	-7.720836e-002
3.504965269833707e-002	-7.805988e-002
3.525355223868636e-002	-7.899408e-002
3.548366388512016e-002	-8.003556e-002
3.576368292727358e-002	-8.128427e-002
3.611805430252194e-002	-8.283819e-002
3.644043448380880e-002	-8.422730e-002
3.669131027097180e-002	-8.529089e-002
3.685933732537185e-002	-8.599503e-002
3.688456803025718e-002	-8.609997e-002
3.693502944002785e-002	-8.630872e-002
3.703595225956919e-002	-8.672442e-002
3.714378644190367e-002	-8.716647e-002
3.718814284504968e-002	-8.734751e-002
3.721762268228027e-002	-8.746745e-002
3.723764147705153e-002	-8.754876e-002
3.723977292076026e-002	-8.755741e-002
3.724403580817772e-002	-8.757471e-002
3.724510153003208e-002	-8.757903e-002
3.724723297374082e-002	-8.758768e-002
3.725149586115828e-002	-8.760496e-002
3.726002163599320e-002	-8.763951e-002
3.727042426131165e-002	-8.768164e-002
3.728641506825112e-002	-8.774636e-002
3.730329691237386e-002	-8.781459e-002
3.733706060061932e-002	-8.795147e-002
3.738075965021615e-002	-8.813429e-002
3.743168990292074e-002	-8.837134e-002
3.749420602300510e-002	-8.872801e-002
3.758221259774126e-002	-8.935770e-002
3.767678174057745e-002	-9.016446e-002
3.779733640580807e-002	-9.129112e-002
3.781113765316445e-002	-9.142370e-002
3.783874014787721e-002	-9.168906e-002
3.789394513730272e-002	-9.221470e-002
3.790276144582635e-002	-9.229771e-002
3.792039406287361e-002	-9.246086e-002
3.795565929696812e-002	-9.277835e-002
3.799833295923297e-002	-9.314520e-002
3.804375723461489e-002	-9.351266e-002
3.808786042548916e-002	-9.384314e-002
3.817606680723770e-002	-9.445212e-002
3.826137731107802e-002	-9.499742e-002
3.833967144624297e-002	-9.546322e-002
3.842522549363728e-002	-9.594603e-002
3.851046849171313e-002	-9.640969e-002
3.861039142469801e-002	-9.694052e-002
3.871814853069536e-002	-9.750585e-002
3.885380322999848e-002	-9.821238e-002
3.901637312597552e-002	-9.905324e-002
3.923819886048703e-002	-1.001918e-001
3.941652060298011e-002	-1.010998e-001
3.957088053186463e-002	-1.018793e-001
3.974586957614484e-002	-1.027563e-001
3.990548870677228e-002	-1.035502e-001
4.006877468557885e-002	-1.043561e-001
4.022273678116900e-002	-1.051104e-001
4.038203016624583e-002	-1.058849e-001
4.053657717819633e-002	-1.066305e-001
4.069582276168589e-002	-1.073930e-001
4.085283829244461e-002	-1.081388e-001
4.101546122341967e-002	-1.089051e-001
4.117998968072369e-002	-1.096739e-001
4.135447487126224e-002	-1.104837e-001
4.137754092446015e-002	-1.105902e-001
4.142367303085597e-002	-1.108022e-001
4.149914437575246e-002	-1.111485e-001
4.150991390932111e-002	-1.111978e-001
4.153145297645840e-002	-1.112962e-001
4.157453111073298e-002	-1.114929e-001
4.157718278747684e-002	-1.115049e-001
4.158248614096456e-002	-1.115291e-001
4.159309284794001e-002	-1.115774e-001
4.159574452468387e-002	-1.115895e-001
4.160104787817159e-002	-1.116136e-001
4.161165458514704e-002	-1.116619e-001
4.162608068432373e-002	-1.117275e-001
4.164167608145813e-002	-1.117984e-001
4.167286687572691e-002	-1.119405e-001
4.171574767061328e-002	-1.121427e-001
4.176450426322819e-002	-1.124017e-001
4.182455475603834e-002	-1.128034e-001
4.190558867664229e-002	-1.135116e-001
4.200746261246529e-002	-1.146070e-001
4.212456777881552e-002	-1.160032e-001
4.223575612926700e-002	-1.173583e-001
4.223861675246240e-002	-1.173927e-001
4.224433799885319e-002	-1.174603e-001
4.225578049163479e-002	-1.175950e-001
4.225864111483019e-002	-1.176285e-001
4.226436236122098e-002	-1.176950e-001
4.227580485400258e-002	-1.178259e-001
4.229868983956576e-002	-1.180810e-001
4.232243456201650e-002	-1.183338e-001
4.236992400691800e-002	-1.188039e-001
4.244527593193694e-002	-1.194853e-001
4.252161905128253e-002	-1.201103e-001
4.259484502372080e-002	-1.206559e-001
4.267424624791828e-002	-1.212035e-001
4.276019347790322e-002	-1.217618e-001
4.284822052187171e-002	-1.223092e-001
4.294476250442268e-002	-1.228932e-001
4.305546855188625e-002	-1.235535e-001
