time	V(vin)	V(vout)
9.408246634960685e-003	-9.896104e-001	-2.036874e-003
9.444862213847953e-003	-9.895697e-001	-2.102670e-003
9.489412199510074e-003	-9.895203e-001	-2.182418e-003
9.552668789349631e-003	-9.894500e-001	-2.295638e-003
9.603994182093862e-003	-9.893931e-001	-2.388668e-003
9.655047012577044e-003	-9.893364e-001	-2.485290e-003
9.710274473719862e-003	-9.892751e-001	-2.602409e-003
9.778053524004947e-003	-9.891998e-001	-2.781067e-003
9.847175464739792e-003	-9.891230e-001	-3.006917e-003
9.857326066313132e-003	-9.891118e-001	-3.046758e-003
9.877627269459814e-003	-9.890893e-001	-3.137075e-003
9.918229675753176e-003	-9.890441e-001	-3.326986e-003
9.928380277326517e-003	-9.890329e-001	-3.375993e-003
9.948681480473199e-003	-9.890103e-001	-3.474749e-003
9.989283886766561e-003	-9.889652e-001	-3.667148e-003
1.002753843585797e-002	-9.889227e-001	-3.839101e-003
1.006698160344166e-002	-9.888789e-001	-4.002340e-003
1.014586793860903e-002	-9.887913e-001	-4.301166e-003
1.022265437421721e-002	-9.887060e-001	-4.570122e-003
1.029795944882836e-002	-9.886223e-001	-4.816475e-003
1.038733033189834e-002	-9.885230e-001	-5.094691e-003
1.046880685933087e-002	-9.884325e-001	-5.338651e-003
1.056384403463213e-002	-9.883268e-001	-5.614176e-003
1.066061993019635e-002	-9.882193e-001	-5.886847e-003
1.078353457226531e-002	-9.880826e-001	-6.223781e-003
1.092250965310403e-002	-9.879281e-001	-6.595178e-003
1.107670866138024e-002	-9.877567e-001	-6.997424e-003
1.124388353471954e-002	-9.875707e-001	-7.423597e-003
1.140037233175863e-002	-9.873967e-001	-7.813274e-003
1.155898874424980e-002	-9.872202e-001	-8.198871e-003
1.171380123198842e-002	-9.870479e-001	-8.566166e-003
1.187458276045476e-002	-9.868690e-001	-8.938162e-003
1.203548646758137e-002	-9.866899e-001	-9.300959e-003
1.219518746578895e-002	-9.865121e-001	-9.651616e-003
1.235181203311743e-002	-9.863377e-001	-9.986336e-003
1.250854996554194e-002	-9.861631e-001	-1.031218e-002
1.266510137899244e-002	-9.859887e-001	-1.062855e-002
1.282334533955596e-002	-9.858124e-001	-1.093913e-002
1.298319005969155e-002	-9.856343e-001	-1.124344e-002
1.314706124395676e-002	-9.854516e-001	-1.154558e-002
1.331668382007727e-002	-9.852626e-001	-1.184781e-002
1.349651660701282e-002	-9.850621e-001	-1.215652e-002
1.369157421117084e-002	-9.848446e-001	-1.247768e-002
1.391081336148728e-002	-9.846000e-001	-1.282153e-002
1.416815729406657e-002	-9.843129e-001	-1.320249e-002
1.445715554418702e-002	-9.839904e-001	-1.360436e-002
1.467257215355785e-002	-9.837499e-001	-1.388830e-002
1.470191292615887e-002	-9.837171e-001	-1.392537e-002
1.476059447136092e-002	-9.836516e-001	-1.399728e-002
1.487795756176502e-002	-9.835206e-001	-1.413778e-002
1.498749145529510e-002	-9.833983e-001	-1.426562e-002
1.503097370091118e-002	-9.833497e-001	-1.431527e-002
1.503655738968227e-002	-9.833435e-001	-1.432156e-002
1.504772476722445e-002	-9.833310e-001	-1.433409e-002
1.504918994743842e-002	-9.833294e-001	-1.433573e-002
1.505212030786635e-002	-9.833261e-001	-1.433900e-002
1.505798102872221e-002	-9.833195e-001	-1.434553e-002
1.506970247043394e-002	-9.833064e-001	-1.435857e-002
