time	V(output2)	V(vin2)
8.920749655329512e-003	-9.548771e-002	-9.821585e-001
8.926029086866608e-003	-9.560665e-002	-9.821479e-001
8.936587949940801e-003	-9.584540e-002	-9.821268e-001
8.949421730397760e-003	-9.613720e-002	-9.821011e-001
8.963407587485147e-003	-9.645829e-002	-9.820732e-001
8.991379301659922e-003	-9.711048e-002	-9.820172e-001
9.030967142835661e-003	-9.804983e-002	-9.819381e-001
9.049360105850762e-003	-9.849361e-002	-9.819013e-001
9.053958346604536e-003	-9.860612e-002	-9.818921e-001
9.063154828112086e-003	-9.883315e-002	-9.818737e-001
9.075369097782619e-003	-9.913731e-002	-9.818493e-001
9.090971926435008e-003	-9.953058e-002	-9.818181e-001
9.108282616112086e-003	-9.997455e-002	-9.817834e-001
9.139134955750895e-003	-1.007853e-001	-9.817218e-001
9.180349818733235e-003	-1.019030e-001	-9.816393e-001
9.228315003312115e-003	-1.032587e-001	-9.815434e-001
9.287762441436592e-003	-1.050280e-001	-9.814245e-001
9.370007278339650e-003	-1.075854e-001	-9.812600e-001
9.385465337658822e-003	-1.080825e-001	-9.812291e-001
9.389329852488615e-003	-1.082092e-001	-9.812213e-001
9.397058882148200e-003	-1.084636e-001	-9.812059e-001
9.412516941467372e-003	-1.089745e-001	-9.811749e-001
9.416381456297165e-003	-1.091028e-001	-9.811673e-001
9.417347585004614e-003	-1.091350e-001	-9.811653e-001
9.419279842419510e-003	-1.091994e-001	-9.811614e-001
9.423144357249303e-003	-1.093284e-001	-9.811537e-001
9.430873386908888e-003	-1.095873e-001	-9.811382e-001
9.446331446228060e-003	-1.101078e-001	-9.811074e-001
9.476497089575296e-003	-1.111319e-001	-9.810470e-001
9.524089336533238e-003	-1.127591e-001	-9.809518e-001
9.532013456925016e-003	-1.130317e-001	-9.809360e-001
9.547861697708573e-003	-1.135791e-001	-9.809043e-001
9.579558179275687e-003	-1.146752e-001	-9.808409e-001
9.614436105379104e-003	-1.158819e-001	-9.807711e-001
9.651002771648102e-003	-1.171442e-001	-9.806980e-001
9.724136104186099e-003	-1.196550e-001	-9.805517e-001
9.786585789631758e-003	-1.217854e-001	-9.804268e-001
9.787404828388900e-003	-1.218132e-001	-9.804252e-001
9.789042905903184e-003	-1.218686e-001	-9.804219e-001
9.789452425281755e-003	-1.218824e-001	-9.804211e-001
9.790271464038897e-003	-1.219101e-001	-9.804195e-001
9.791909541553181e-003	-1.219654e-001	-9.804162e-001
9.795185696581747e-003	-1.220760e-001	-9.804096e-001
9.801738006638881e-003	-1.222968e-001	-9.803965e-001
9.814842626753148e-003	-1.227370e-001	-9.803703e-001
