time	V(n038)
4.216719541659651e-002	2.880589e-002
4.233378919654066e-002	2.921889e-002
4.249705214351849e-002	2.961741e-002
4.265775125378520e-002	3.000351e-002
4.281395153912743e-002	3.037282e-002
4.297072057240903e-002	3.073751e-002
4.312651309083450e-002	3.109396e-002
4.328373977674895e-002	3.144763e-002
4.344113676122392e-002	3.179552e-002
4.360116080529066e-002	3.214285e-002
4.376403040508071e-002	3.248969e-002
4.393315480240925e-002	3.284309e-002
4.407379616506300e-002	3.313253e-002
4.409554383557683e-002	3.317676e-002
4.413903917660448e-002	3.326460e-002
4.416203720750134e-002	3.331084e-002
4.420803326929505e-002	3.340298e-002
4.421491442675167e-002	3.341672e-002
4.422867674166491e-002	3.344415e-002
4.423048489346407e-002	3.344775e-002
4.423410119706239e-002	3.345495e-002
4.424133380425902e-002	3.346932e-002
4.425317711871028e-002	3.349284e-002
4.426558470046685e-002	3.351744e-002
4.429039986397998e-002	3.356674e-002
4.432710877804615e-002	3.364217e-002
4.437399574670206e-002	3.375004e-002
4.442637940280630e-002	3.390060e-002
4.449529504344361e-002	3.416260e-002
4.459244162492315e-002	3.462461e-002
4.469290987541837e-002	3.516001e-002
4.480895636680387e-002	3.578216e-002
4.491198091260488e-002	3.629151e-002
4.501337100341941e-002	3.673914e-002
4.506294976325626e-002	3.693521e-002
4.512928639400732e-002	3.717488e-002
4.520226876057975e-002	3.742185e-002
4.528359412971073e-002	3.768083e-002
4.537416483703941e-002	3.795512e-002
4.546033463102756e-002	3.820582e-002
4.555849073946113e-002	3.848286e-002
4.566565480990356e-002	3.877897e-002
4.579839894817469e-002	3.913995e-002
4.595691700448303e-002	3.956452e-002
4.616923465511681e-002	4.012397e-002
4.634628664743153e-002	4.058253e-002
4.650203557773259e-002	4.097871e-002
4.667874796108312e-002	4.142066e-002
4.683835739892844e-002	4.181313e-002
4.700190497019553e-002	4.220845e-002
4.715550015826263e-002	4.257349e-002
4.731487876493874e-002	4.294587e-002
4.746903188252517e-002	4.329992e-002
4.762797161482314e-002	4.365866e-002
4.778405259318851e-002	4.400476e-002
