time	V(vin)	V(n032)
3.484382627398198e-002	4.240027e-001	1.169547e-003
3.486166001870884e-002	4.242057e-001	1.225888e-003
3.486611845489056e-002	4.242564e-001	1.240010e-003
3.486723306393599e-002	4.242691e-001	1.243539e-003
3.486946228202684e-002	4.242944e-001	1.250571e-003
3.487392071820856e-002	4.243452e-001	1.264533e-003
3.488283759057199e-002	4.244466e-001	1.291920e-003
3.490067133529885e-002	4.246496e-001	1.343985e-003
3.493474936645078e-002	4.250372e-001	1.433435e-003
3.498518210030082e-002	4.256108e-001	1.543293e-003
3.505617896704228e-002	4.264180e-001	1.660501e-003
3.515515235886605e-002	4.275426e-001	1.779444e-003
3.523747736555019e-002	4.284776e-001	1.852840e-003
3.531529174953033e-002	4.293609e-001	1.906621e-003
3.539817818235942e-002	4.303014e-001	1.953948e-003
3.548763664989117e-002	4.313159e-001	1.997625e-003
3.558944503031206e-002	4.324698e-001	2.041268e-003
3.570468746748143e-002	4.337751e-001	2.085635e-003
3.584541877903157e-002	4.353678e-001	2.135519e-003
3.602176930865104e-002	4.373618e-001	2.194535e-003
3.621566567249417e-002	4.395517e-001	2.256700e-003
3.638353161355453e-002	4.414454e-001	2.308410e-003
3.654009064939506e-002	4.432099e-001	2.354694e-003
3.671372736948602e-002	4.451648e-001	2.403982e-003
3.687393291599975e-002	4.469666e-001	2.447595e-003
3.703599433452217e-002	4.487875e-001	2.489844e-003
3.719003643666471e-002	4.505165e-001	2.528276e-003
3.734840956919593e-002	4.522924e-001	2.566039e-003
3.750286660462476e-002	4.540226e-001	2.601183e-003
3.766097730572585e-002	4.557920e-001	2.635438e-003
3.781698094535637e-002	4.575360e-001	2.667548e-003
3.797704074389216e-002	4.593236e-001	2.698755e-003
3.813788776088062e-002	4.611181e-001	2.728360e-003
3.830537532081570e-002	4.629847e-001	2.757325e-003
3.847886030552393e-002	4.649159e-001	2.785342e-003
3.866574278034497e-002	4.669938e-001	2.813280e-003
3.886923470568077e-002	4.692535e-001	2.841079e-003
3.910111880857563e-002	4.718247e-001	2.869455e-003
3.937305352981688e-002	4.748349e-001	2.899048e-003
3.953044798508706e-002	4.765746e-001	2.914517e-003
3.955026635018226e-002	4.767935e-001	2.916317e-003
3.958990308037266e-002	4.772313e-001	2.919741e-003
3.966917654075347e-002	4.781065e-001	2.926411e-003
3.967951906166908e-002	4.782206e-001	2.927258e-003
3.970020410350029e-002	4.784489e-001	2.928906e-003
3.974157418716273e-002	4.789053e-001	2.932145e-003
3.976233232258615e-002	4.791343e-001	2.933744e-003
3.976298101431813e-002	4.791415e-001	2.933793e-003
3.976427839778210e-002	4.791558e-001	2.933892e-003
3.976687316471003e-002	4.791844e-001	2.934088e-003
3.977206269856588e-002	4.792417e-001	2.934478e-003
3.978244176627760e-002	4.793561e-001	2.935258e-003
3.979541401929628e-002	4.794992e-001	2.936265e-003
3.981232794202958e-002	4.796857e-001	2.937996e-003
3.984615578749617e-002	4.800586e-001	2.944604e-003
3.988852466191921e-002	4.805256e-001	2.963664e-003
3.993902098078719e-002	4.810820e-001	3.013124e-003
3.999886004511003e-002	4.817411e-001	3.122815e-003
4.007159534781678e-002	4.825419e-001	3.332523e-003
4.016848562832343e-002	4.836079e-001	3.686467e-003
4.028690337826903e-002	4.849099e-001	4.125831e-003
4.039664656204354e-002	4.861155e-001	4.489595e-003
4.041345173803966e-002	4.863001e-001	4.538173e-003
4.041765303203869e-002	4.863462e-001	4.549344e-003
4.042605562003675e-002	4.864385e-001	4.571060e-003
4.044286079603288e-002	4.866230e-001	4.612526e-003
4.047457021893133e-002	4.869711e-001	4.685600e-003
4.050649361401111e-002	4.873214e-001	4.752828e-003
4.054493710446288e-002	4.877432e-001	4.824637e-003
4.062182408536642e-002	4.885864e-001	4.951321e-003
4.069597875634941e-002	4.893993e-001	5.060112e-003
4.076939874747393e-002	4.902036e-001	5.157060e-003
4.084949472834688e-002	4.910807e-001	5.254603e-003
4.093506276220484e-002	4.920171e-001	5.352322e-003
4.102322507681284e-002	4.929813e-001	5.447895e-003
4.111954274340015e-002	4.940340e-001	5.547986e-003
4.123029588612547e-002	4.952436e-001	5.659341e-003
4.136282815320413e-002	4.966897e-001	5.789317e-003
4.152841416372613e-002	4.984947e-001	5.948346e-003
